borough,precinct,crashes,injuries,fatalities
Manhattan,1,10,10,0
Manhattan,5,10,7,0
Manhattan,6,5,5,0
Manhattan,7,6,5,0
Manhattan,9,5,4,0
Manhattan,10,7,6,0
Manhattan,13,13,11,0
Manhattan,14,9,7,0
Manhattan,17,7,7,0
Manhattan,18,7,4,0
Manhattan,19,6,5,0
Manhattan,20,10,7,1
Manhattan,22,100,80,0
Manhattan,23,2,2,0
Manhattan,24,10,8,0
Manhattan,25,2,1,0
Manhattan,26,3,3,0
Manhattan,28,3,2,0
Manhattan,30,6,6,0
Manhattan,32,2,2,0
Manhattan,33,1,1,0
Manhattan,34,4,3,0
Bronx,40,2,2,0
Bronx,41,1,1,0
Bronx,42,2,1,0
Bronx,43,3,2,0
Bronx,44,0,0,0
Bronx,45,1,1,0
Bronx,46,3,3,0
Bronx,47,1,1,0
Bronx,48,0,0,0
Bronx,49,3,3,0
Bronx,50,2,2,0
Bronx,52,4,4,0
Brooklyn,60,5,4,0
Brooklyn,61,2,2,0
Brooklyn,62,1,1,0
Brooklyn,63,2,2,0
Brooklyn,66,10,9,0
Brooklyn,67,0,0,0
Brooklyn,68,3,3,0
Brooklyn,69,0,0,0
Brooklyn,70,2,1,0
Brooklyn,71,4,4,0
Brooklyn,72,8,8,0
Brooklyn,73,1,0,0
Brooklyn,75,3,3,0
Brooklyn,76,6,4,0
Brooklyn,77,4,3,0
Brooklyn,78,14,13,0
Brooklyn,79,10,8,0
Brooklyn,81,1,1,0
Brooklyn,83,2,2,0
Brooklyn,84,11,9,0
Brooklyn,88,6,5,0
Brooklyn,90,23,21,0
Brooklyn,94,11,9,0
Queens,100,1,1,0
Queens,101,2,1,0
Queens,102,4,4,0
Queens,103,0,0,0
Queens,104,6,6,0
Queens,105,0,0,0
Queens,106,1,0,0
Queens,107,1,1,0
Queens,108,5,5,0
Queens,109,2,2,0
Queens,110,4,3,0
Queens,111,2,2,0
Queens,112,2,1,0
Queens,113,0,0,0
Queens,114,4,4,0
Queens,115,5,4,0
StatenIsland,120,0,0,0
StatenIsland,121,1,1,0
StatenIsland,122,0,0,0
StatenIsland,123,0,0,0
