borough,precinct,crashes,injuries_pedestrian,fatalities_pedestrian,injuries,fatalities
Manhattan,1,12,12,0,1,0
Manhattan,5,14,13,0,4,0
Manhattan,6,10,10,0,0,0
Manhattan,7,3,3,0,0,0
Manhattan,9,7,7,0,1,0
Manhattan,10,5,4,0,1,0
Manhattan,13,18,16,0,4,0
Manhattan,14,11,9,0,0,0
Manhattan,17,9,9,0,1,0
Manhattan,18,9,7,0,0,0
Manhattan,19,12,8,0,1,0
Manhattan,20,5,5,0,0,0
Manhattan,22,9,4,0,4,0
Manhattan,23,5,4,0,0,0
Manhattan,24,12,10,0,3,0
Manhattan,25,2,2,0,2,0
Manhattan,26,3,4,0,1,0
Manhattan,28,1,1,0,0,0
Manhattan,30,4,3,0,2,0
Manhattan,32,0,0,0,0,0
Manhattan,33,0,0,0,0,0
Manhattan,34,4,3,0,0,0
Bronx,40,6,6,0,2,0
Bronx,41,2,1,0,0,0
Bronx,42,0,0,0,0,0
Bronx,43,0,0,0,0,0
Bronx,44,0,0,0,0,0
Bronx,45,1,1,0,0,0
Bronx,46,2,2,0,0,0
Bronx,47,0,0,0,0,0
Bronx,48,2,1,0,0,0
Bronx,49,1,1,0,0,0
Bronx,50,3,3,0,1,0
Bronx,52,1,1,0,0,0
Brooklyn,60,0,0,0,0,0
Brooklyn,61,5,5,0,1,0
Brooklyn,62,4,4,0,1,0
Brooklyn,63,0,0,0,0,0
Brooklyn,66,6,6,0,0,0
Brooklyn,67,0,0,0,0,0
Brooklyn,68,4,4,0,1,0
Brooklyn,69,0,0,0,0,0
Brooklyn,70,3,3,0,0,0
Brooklyn,71,9,9,0,2,0
Brooklyn,72,7,6,0,4,0
Brooklyn,73,2,2,0,0,0
Brooklyn,75,3,3,0,0,0
Brooklyn,76,4,3,0,0,0
Brooklyn,77,6,5,0,0,0
Brooklyn,78,6,6,0,4,0
Brooklyn,79,4,4,0,0,0
Brooklyn,81,3,3,0,1,0
Brooklyn,83,4,4,0,1,0
Brooklyn,84,13,11,0,4,0
Brooklyn,88,2,2,0,0,0
Brooklyn,90,8,8,0,2,0
Brooklyn,94,2,2,0,0,0
Queens,100,0,0,0,0,0
Queens,101,0,0,0,0,0
Queens,102,3,1,0,2,0
Queens,103,0,0,0,0,0
Queens,104,2,2,0,0,0
Queens,105,0,0,0,0,0
Queens,106,1,1,0,0,0
Queens,107,1,1,0,0,0
Queens,108,3,3,0,0,0
Queens,109,6,6,0,2,0
Queens,110,9,7,0,0,0
Queens,111,0,0,0,0,0
Queens,112,3,2,0,1,0
Queens,113,0,0,0,0,0
Queens,114,3,3,0,0,0
Queens,115,3,3,0,1,0
StatenIsland,120,0,0,0,0,0
StatenIsland,121,0,0,0,0,0
StatenIsland,122,1,1,0,0,0
StatenIsland,123,0,0,0,0,0
