borough,precinct,crashes,injuries,fatalities,injuries_car,fatalities_car
Manhattan,1,109,78,0,2,0
Manhattan,5,98,70,0,3,0
Manhattan,6,97,64,0,0,0
Manhattan,7,54,45,0,0,0
Manhattan,9,112,86,0,1,0
Manhattan,10,82,45,1,0,0
Manhattan,13,177,118,1,4,0
Manhattan,14,133,81,1,3,0
Manhattan,17,121,107,0,0,0
Manhattan,18,173,100,0,0,0
Manhattan,19,167,110,0,1,0
Manhattan,20,68,49,0,1,0
Manhattan,22,7,6,1,0,0
Manhattan,23,79,53,0,0,0
Manhattan,24,57,32,0,0,0
Manhattan,25,72,59,1,0,0
Manhattan,26,30,21,0,0,0
Manhattan,28,59,45,0,0,0
Manhattan,30,40,38,0,0,0
Manhattan,32,70,58,0,0,0
Manhattan,33,56,35,0,2,0
Manhattan,34,44,31,0,0,0
Bronx,40,103,79,0,0,0
Bronx,41,35,21,0,0,0
Bronx,42,44,35,0,0,0
Bronx,43,66,59,0,0,0
Bronx,44,88,76,0,2,0
Bronx,45,34,28,0,1,0
Bronx,46,55,42,0,1,0
Bronx,47,44,35,0,1,0
Bronx,48,65,44,0,0,0
Bronx,49,39,30,0,1,0
Bronx,50,25,24,0,2,0
Bronx,52,63,53,0,0,0
Brooklyn,60,46,43,0,0,0
Brooklyn,61,97,83,1,0,0
Brooklyn,62,76,66,1,1,0
Brooklyn,63,40,29,1,1,0
Brooklyn,66,150,119,3,3,0
Brooklyn,67,107,95,0,2,0
Brooklyn,68,66,57,0,1,0
Brooklyn,69,29,27,1,4,0
Brooklyn,70,127,113,1,0,0
Brooklyn,71,93,86,0,1,0
Brooklyn,72,117,100,2,0,0
Brooklyn,73,81,70,1,2,0
Brooklyn,75,112,10,0,14,0
Brooklyn,76,24,22,0,2,0
Brooklyn,77,111,87,1,2,0
Brooklyn,78,115,91,1,3,0
Brooklyn,79,118,99,0,2,0
Brooklyn,81,81,51,0,0,0
Brooklyn,83,115,97,0,0,0
Brooklyn,84,75,53,0,1,0
Brooklyn,88,115,91,0,0,0
Brooklyn,90,178,141,2,5,0
Brooklyn,94,73,60,1,3,0
Queens,100,26,16,2,0,0
Queens,101,21,15,0,1,0
Queens,102,61,50,0,0,0
Queens,103,48,43,0,0,0
Queens,104,94,88,0,0,0
Queens,105,35,30,0,1,0
Queens,106,50,42,0,0,0
Queens,107,26,26,0,0,0
Queens,108,104,87,2,0,0
Queens,109,94,89,0,1,0
Queens,110,143,110,0,0,0
Queens,111,29,23,0,0,0
Queens,112,31,23,0,0,0
Queens,113,41,37,0,0,0
Queens,114,150,140,0,2,0
Queens,115,107,92,0,1,0
StatenIsland,120,28,24,1,0,0
StatenIsland,121,22,19,0,0,0
StatenIsland,122,16,14,0,0,0
StatenIsland,123,8,6,0,0,0
