borough,precinct,crashes,injuries,fatalities,type_of_injury,year
Manhattan,1,2,2,0,BB,2014
Manhattan,1,9,2,0,BP,2016
Manhattan,1,13,2,0,BP,2014
Manhattan,1,0,0,0,BB,2017
Manhattan,1,0,0,0,BB,2018
Manhattan,1,17,3,0,BP,2017
Manhattan,1,88,87,1,BM,2016
Manhattan,1,0,0,0,BB,2019
Manhattan,1,1,1,0,BB,2016
Manhattan,1,3,3,0,SB,2019
Manhattan,1,6,6,0,SB,2016
Manhattan,1,10,10,0,SB,2015
Manhattan,1,2,2,0,SB,2017
Manhattan,1,112,87,0,BM,2018
Manhattan,1,73,74,0,BM,2014
Manhattan,1,12,0,0,BP,2015
Manhattan,1,7,6,0,SB,2014
Manhattan,1,12,1,0,BP,2018
Manhattan,1,90,91,0,BM,2015
Manhattan,1,5,1,0,BP,2019
Manhattan,1,83,83,1,BM,2017
Manhattan,1,5,5,0,BB,2015
Manhattan,1,109,78,0,BM,2019
Manhattan,1,3,3,0,SB,2018
Manhattan,5,84,84,0,BM,2014
Manhattan,5,0,0,0,BB,2017
Manhattan,5,14,4,0,BP,2018
Manhattan,5,73,72,1,BM,2017
Manhattan,5,7,6,0,SB,2016
Manhattan,5,81,81,0,BM,2016
Manhattan,5,4,4,0,SB,2019
Manhattan,5,10,1,0,BP,2014
Manhattan,5,2,2,0,BB,2019
Manhattan,5,3,8,0,BB,2016
Manhattan,5,10,7,0,SB,2015
Manhattan,5,98,70,0,BM,2019
Manhattan,5,12,0,0,BP,2015
Manhattan,5,6,4,0,SB,2014
Manhattan,5,73,75,0,BM,2015
Manhattan,5,10,2,0,BP,2019
Manhattan,5,4,5,0,BB,2015
Manhattan,5,8,7,0,SB,2018
Manhattan,5,13,1,0,BP,2017
Manhattan,5,7,0,0,BP,2016
Manhattan,5,2,4,0,BB,2018
Manhattan,5,1,2,0,BB,2014
Manhattan,5,95,67,0,BM,2018
Manhattan,5,5,5,0,SB,2017
Manhattan,6,60,60,0,BM,2016
Manhattan,6,69,46,0,BM,2018
Manhattan,6,10,0,0,BP,2018
Manhattan,6,53,54,0,BM,2014
Manhattan,6,17,3,0,BP,2014
Manhattan,6,1,1,0,SB,2019
Manhattan,6,3,4,0,BB,2015
Manhattan,6,2,2,0,BB,2017
Manhattan,6,4,4,0,SB,2017
Manhattan,6,17,2,0,BP,2019
Manhattan,6,8,1,0,BP,2015
Manhattan,6,3,2,0,SB,2016
Manhattan,6,8,1,0,BP,2016
Manhattan,6,4,3,0,BB,2016
Manhattan,6,3,3,0,SB,2018
Manhattan,6,5,5,0,SB,2015
Manhattan,6,63,63,0,BM,2017
Manhattan,6,97,64,0,BM,2019
Manhattan,6,58,60,0,BM,2015
Manhattan,6,2,3,0,BB,2018
Manhattan,6,4,1,0,BP,2017
Manhattan,6,0,0,0,BB,2014
Manhattan,6,2,0,0,SB,2014
Manhattan,6,5,5,0,BB,2019
Manhattan,7,47,47,0,BM,2017
Manhattan,7,9,4,0,BP,2017
Manhattan,7,1,1,0,SB,2019
Manhattan,7,0,0,0,BB,2017
Manhattan,7,6,5,0,SB,2017
Manhattan,7,7,1,0,BP,2019
Manhattan,7,0,0,0,BB,2014
Manhattan,7,6,5,0,SB,2015
Manhattan,7,6,5,0,SB,2016
Manhattan,7,12,11,0,SB,2014
Manhattan,7,4,3,0,BP,2016
Manhattan,7,5,5,0,SB,2018
Manhattan,7,1,1,0,BB,2016
Manhattan,7,51,51,0,BM,2015
Manhattan,7,54,45,0,BM,2019
Manhattan,7,7,1,0,BP,2014
Manhattan,7,6,0,0,BP,2015
Manhattan,7,4,3,0,BB,2015
Manhattan,7,45,46,0,BM,2016
Manhattan,7,1,2,0,BB,2019
Manhattan,7,54,41,0,BM,2018
Manhattan,7,3,0,0,BP,2018
Manhattan,7,4,5,0,BB,2018
Manhattan,7,50,49,1,BM,2014
Manhattan,9,11,1,0,BP,2016
Manhattan,9,0,0,0,BB,2016
Manhattan,9,2,1,0,BB,2018
Manhattan,9,122,93,0,BM,2018
Manhattan,9,4,4,0,SB,2017
Manhattan,9,15,12,0,SB,2014
Manhattan,9,7,1,0,BP,2018
Manhattan,9,4,4,0,SB,2016
Manhattan,9,5,4,0,SB,2015
Manhattan,9,8,1,0,BP,2014
Manhattan,9,2,1,0,SB,2018
Manhattan,9,14,3,0,BP,2019
Manhattan,9,9,0,0,BP,2015
Manhattan,9,4,5,0,BB,2014
Manhattan,9,7,2,0,BB,2015
Manhattan,9,112,86,0,BM,2019
Manhattan,9,17,4,0,BP,2017
Manhattan,9,85,86,0,BM,2014
Manhattan,9,90,89,1,BM,2017
Manhattan,9,4,3,0,SB,2019
Manhattan,9,86,87,0,BM,2015
Manhattan,9,1,1,0,BB,2017
Manhattan,9,84,84,0,BM,2016
Manhattan,9,5,5,0,BB,2019
Manhattan,10,7,6,0,SB,2015
Manhattan,10,2,1,0,BB,2016
Manhattan,10,51,51,0,BM,2015
Manhattan,10,53,53,0,BM,2016
Manhattan,10,3,0,0,BP,2014
Manhattan,10,9,2,0,BP,2016
Manhattan,10,7,5,0,SB,2014
Manhattan,10,3,3,0,SB,2019
Manhattan,10,2,1,0,BB,2019
Manhattan,10,2,1,0,BB,2018
Manhattan,10,1,1,0,BB,2014
Manhattan,10,5,1,0,BP,2018
Manhattan,10,41,41,0,BM,2014
Manhattan,10,82,45,1,BM,2019
Manhattan,10,3,1,0,BP,2017
Manhattan,10,2,1,0,BB,2015
Manhattan,10,78,39,0,BM,2018
Manhattan,10,4,2,0,BP,2019
Manhattan,10,1,1,0,BB,2017
Manhattan,10,3,2,0,SB,2016
Manhattan,10,47,46,2,BM,2017
Manhattan,10,1,0,0,BP,2015
Manhattan,10,1,0,0,SB,2018
Manhattan,10,1,1,0,SB,2017
Manhattan,13,3,2,0,SB,2016
Manhattan,13,17,0,0,BP,2015
Manhattan,13,129,129,0,BM,2014
Manhattan,13,121,121,0,BM,2016
Manhattan,13,124,124,1,BM,2017
Manhattan,13,6,5,0,SB,2014
Manhattan,13,163,111,0,BM,2018
Manhattan,13,2,1,0,BB,2014
Manhattan,13,20,3,0,BP,2014
Manhattan,13,1,1,0,BB,2016
Manhattan,13,18,4,0,BP,2018
Manhattan,13,20,2,0,BP,2016
Manhattan,13,16,5,0,BP,2017
Manhattan,13,2,2,0,SB,2019
Manhattan,13,13,11,0,SB,2015
Manhattan,13,2,2,0,BB,2015
Manhattan,13,5,4,0,SB,2018
Manhattan,13,136,136,0,BM,2015
Manhattan,13,177,118,1,BM,2019
Manhattan,13,1,2,0,BB,2017
Manhattan,13,5,4,0,BB,2019
Manhattan,13,2,2,0,BB,2018
Manhattan,13,5,5,0,SB,2017
Manhattan,13,17,3,0,BP,2019
Manhattan,14,1,2,0,BB,2016
Manhattan,14,1,1,0,BB,2019
Manhattan,14,19,2,0,BP,2019
Manhattan,14,152,94,0,BM,2018
Manhattan,14,96,97,1,BM,2017
Manhattan,14,20,5,0,BP,2017
Manhattan,14,133,81,1,BM,2019
Manhattan,14,1,2,0,BB,2014
Manhattan,14,22,0,0,BP,2015
Manhattan,14,1,1,0,SB,2018
Manhattan,14,25,1,0,BP,2016
Manhattan,14,94,94,0,BM,2015
Manhattan,14,0,0,0,BB,2018
Manhattan,14,0,0,0,SB,2016
Manhattan,14,1,1,0,SB,2019
Manhattan,14,115,116,0,BM,2016
Manhattan,14,0,0,0,BB,2017
Manhattan,14,9,7,0,SB,2015
Manhattan,14,11,0,0,BP,2018
Manhattan,14,95,95,0,BM,2014
Manhattan,14,12,1,0,BP,2014
Manhattan,14,1,1,0,SB,2014
Manhattan,14,1,0,0,BB,2015
Manhattan,14,0,0,0,SB,2017
Manhattan,17,7,7,0,SB,2015
Manhattan,17,1,2,0,BB,2014
Manhattan,17,0,0,0,BB,2018
Manhattan,17,8,0,0,BP,2014
Manhattan,17,2,3,0,BB,2019
Manhattan,17,16,2,0,BP,2019
Manhattan,17,11,4,0,BP,2017
Manhattan,17,89,89,0,BM,2017
Manhattan,17,62,62,0,BM,2014
Manhattan,17,9,1,0,BP,2018
Manhattan,17,2,1,0,BB,2015
Manhattan,17,0,0,0,BB,2017
Manhattan,17,2,2,0,SB,2016
Manhattan,17,7,6,0,SB,2018
Manhattan,17,0,0,0,BB,2016
Manhattan,17,8,0,0,BP,2016
Manhattan,17,108,108,0,BM,2015
Manhattan,17,5,5,0,SB,2019
Manhattan,17,121,107,0,BM,2019
Manhattan,17,131,97,1,BM,2018
Manhattan,17,3,3,0,SB,2014
Manhattan,17,94,94,0,BM,2016
Manhattan,17,5,4,0,SB,2017
Manhattan,17,15,1,0,BP,2015
Manhattan,18,104,106,0,BM,2015
Manhattan,18,173,100,0,BM,2019
Manhattan,18,2,2,0,BB,2015
Manhattan,18,9,4,0,SB,2014
Manhattan,18,2,1,0,BB,2014
Manhattan,18,23,2,0,BP,2019
Manhattan,18,188,103,0,BM,2018
Manhattan,18,1,0,0,BB,2019
Manhattan,18,7,6,0,SB,2019
Manhattan,18,4,3,0,SB,2018
Manhattan,18,0,0,0,SB,2016
Manhattan,18,4,3,0,SB,2017
Manhattan,18,0,0,0,BB,2017
Manhattan,18,8,0,0,BP,2014
Manhattan,18,104,103,1,BM,2016
Manhattan,18,12,1,0,BP,2016
Manhattan,18,1,0,0,BB,2016
Manhattan,18,14,0,0,BP,2015
Manhattan,18,76,76,0,BM,2014
Manhattan,18,93,92,1,BM,2017
Manhattan,18,7,4,0,SB,2015
Manhattan,18,9,0,0,BP,2018
Manhattan,18,3,5,0,BB,2018
Manhattan,18,16,1,0,BP,2017
Manhattan,19,93,93,0,BM,2014
Manhattan,19,143,90,0,BM,2018
Manhattan,19,19,4,0,BP,2016
Manhattan,19,15,12,0,SB,2018
Manhattan,19,18,5,0,BP,2017
Manhattan,19,5,4,0,SB,2016
Manhattan,19,99,99,0,BM,2017
Manhattan,19,2,1,0,BB,2017
Manhattan,19,12,1,0,BP,2018
Manhattan,19,0,0,0,BB,2015
Manhattan,19,21,0,0,BP,2015
Manhattan,19,14,1,0,BP,2019
Manhattan,19,111,112,0,BM,2016
Manhattan,19,6,5,0,SB,2015
Manhattan,19,6,0,0,BP,2014
Manhattan,19,5,2,0,BB,2014
Manhattan,19,12,6,0,SB,2014
Manhattan,19,3,2,0,BB,2018
Manhattan,19,2,2,0,BB,2016
Manhattan,19,5,4,0,SB,2017
Manhattan,19,111,111,0,BM,2015
Manhattan,19,7,6,0,SB,2019
Manhattan,19,167,110,0,BM,2019
Manhattan,19,3,3,0,BB,2019
Manhattan,20,3,4,0,BB,2018
Manhattan,20,10,2,0,BP,2017
Manhattan,20,57,56,1,BM,2017
Manhattan,20,66,42,1,BM,2018
Manhattan,20,10,0,0,BP,2015
Manhattan,20,10,7,1,SB,2015
Manhattan,20,3,4,0,BB,2017
Manhattan,20,5,0,0,BP,2018
Manhattan,20,46,46,0,BM,2016
Manhattan,20,2,2,0,SB,2017
Manhattan,20,2,1,0,BB,2015
Manhattan,20,2,2,0,SB,2016
Manhattan,20,68,49,0,BM,2019
Manhattan,20,50,51,0,BM,2015
Manhattan,20,5,5,0,SB,2018
Manhattan,20,7,2,0,BP,2016
Manhattan,20,2,2,0,BB,2019
Manhattan,20,10,0,0,BP,2019
Manhattan,20,3,3,0,BB,2016
Manhattan,20,1,1,0,BB,2014
Manhattan,20,40,40,0,BM,2014
Manhattan,20,9,6,0,SB,2014
Manhattan,20,5,5,0,SB,2019
Manhattan,20,4,0,0,BP,2014
Manhattan,22,14,3,0,BP,2015
